video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"IyCS5HCGoFQ","[#인기급상승] (풀버전) 브레이브걸스가 유퀴즈에 출연했다💜😆💜 롤린 역주행 신드롬 일으킨 쁘걸 자기님들 30분 모음집 | #유퀴즈온더블럭 #디글","2021-03-18T02:01:00Z","UCWYzc_p0GgfCepIWDHGFmEg","디글 :Diggle","24","21.19.03","Diggle|tvN|tvN D ENT|tvN 예능|youquizontheblock|꼬북좌 유퀴즈|디글 유퀴즈|롤린|롤린역주행|롤린유퀴즈|메보좌 유퀴즈|브레이브걸스|브레이브걸스 민영|브레이브걸스 유나|브레이브걸스 유재석조세호|브레이브걸스 유정|브레이브걸스 유퀴즈|브레이브걸스 은지|브브걸 유퀴즈|쁘걸 유퀴즈|예능 다시보기|유재석|유재석 눈물|유재석 브레이브걸스|유재석 연예대상|유재석 오열|유퀴즈|유퀴즈 98화 다시보기|유퀴즈 개그|유퀴즈 꼬북좌|유퀴즈 눈물|유퀴즈 다시보기|유퀴즈 디글|유퀴즈 레전드|유퀴즈 롤린|유퀴즈 브레이브걸스|유퀴즈 브브걸|유퀴즈 쁘걸|유퀴즈 연기|유퀴즈 유행어|유퀴즈 일반인|유퀴즈 티격태격|유퀴즈 힐링|유퀴즈98화|유퀴즈온더블럭|유퀴즈온더블럭 98화 다시보기|인기급상승|조세호","1177931","18699","258","2367","https://i.ytimg.com/vi/IyCS5HCGoFQ/default.jpg","False","False","#유퀴즈온더블럭 #Diggle #디글유튜브에서 지금 핫한 사람 누구? 人기가 급상승한 人물 모음집Let's giggle, :Diggle!방송국놈들이 덕질하는 채널 '디글'구독하기 ☞ https://www.youtube.com/c/디글Diggle"
"vzlltoQe98E","[라디오스타] 전보다 더 강력해진 마라 맛 입담..!!😮🔥 엄마가 되어 돌아온 사유리의 근황 토크 | #사유리 #엠뚜루마뚜루 MBC210317방송","2021-03-18T08:00:12Z","UCiwQRG2sCcfjKkgxMEdJGPg","엠뚜루마뚜루 : MBC 공식 종합 채널","24","21.19.03","사유리|MBC|라디오스타|김구라|안영미|김영철|김국진|제시|후니훈|홍서범|노래|성대모사|개인기|에피소드|토크|스타|라디오|라스|수요예능|MBC 예능|레전드예능|예능레전드","1030222","14331","402","2028","https://i.ytimg.com/vi/vzlltoQe98E/default.jpg","False","False","[라디오스타] 수요일 밤 10시 20분 방송!MBC의 따끈따끈한 영상을 내 맘대로 편하게 즐기는 채널🌀 엠뚜루마뚜루 보러가기👉https://url.kr/CqF38V-#라디오스타#엠뚜루마뚜루"
"_Fdxp_bw0H4","'포스코-미얀마 군부 자금줄' 실체 속속 드러나 (2021.03.18/뉴스데스크/포항MBC)","2021-03-18T11:38:32Z","UCdcyo5bb--gqMzT95Yu1eXw","포항MBC NEWS","25","21.19.03","MBC|포항|포항MBC|MBC NEWS|뉴스데스크|뉴스투데이|930뉴스|5시뉴스|포항MBC 뉴스데스크|포항MBC 뉴스투데이|전세용|박세아|아나운서|조주경|기상캐스터|강민재|박성아|포스코|포항제철소|POSCO|미얀마|군부자금줄|실체속속|비판|협력관계|국제사회비판|포스코강판","697070","9261","334","4006","https://i.ytimg.com/vi/_Fdxp_bw0H4/default.jpg","False","False","#박성아 #포스코 #미얀마 #군부자금줄 #실체속속 #비판 #POSCO #포항제철소 #협력관계 #국제사회비판 #포스코강판#포항MBC #포항MBC뉴스 #MBCNEWS #포항뉴스포항MBC NEWS 공식 유튜브 채널입니다.▼포항MBC 계정 메시지나 댓글을 통해 제보해 주세요!- 포항MBC 웹사이트 : http://www.phmbc.co.kr/- 페이스북 : https://www.facebook.com/phmbcmagazine/- 제보전화 : 054-289-0350- 카카오톡제보 : 010-3301-7900- 카카오톡ID : PHMBCJEBO- 제보메일 : news@phmbc.co.kr"
"XLTWhvtPxSQ","70년대 인기가수 방주연이 화병(火病)난 사연.. 남편 무덤가를 떠돈다고? [특종세상] MBN 200605 방송","2021-03-18T09:00:09Z","UCYyLIlOJyqkAFKlVjzX5img","MBN Entertainment","24","21.19.03","[none]","288298","1859","133","78","https://i.ytimg.com/vi/XLTWhvtPxSQ/default.jpg","False","False","'당신의 마음' '자주색 가방' 등의 히트곡으로 1970년대 인기를 누린 가수 방주연의 기막힌 사연. 죽은 남편 무덤가를 떠돌고 있다는 그녀는 과연 무슨 사연이 있길래...☞ 가수 방주연 스토리 #1 https://youtu.be/XLTWhvtPxSQ☞ 가수 방주연 스토리 #2 https://youtu.be/_TgRQtRvPzw☞ MBN Entertainment 구독하기 : https://www.youtube.com/channel/UCYyLIlOJyqkAFKlVjzX5img?sub_confirmation=1#방주연 #특종세상 #당신의마음 #기다리게해놓고 #자주색가방 #꽃과나비 #생각해보세요 #노래모음 #임파선암 #위암 #항암식단 #화병 #울화병 #남편 #외도 #7080"
"-FAYOasPjFQ","존버(?)에서 대세로😂 화제의 브레이브걸스 - '쓰복만' 성우 김보민#highlight #유퀴즈온더블럭","2021-03-17T15:07:39Z","UC920m3pMPH45qztdhppZhwA","유 퀴즈 온 더 튜브","24","21.19.03","김보민|끝까지간다|브레이브걸스|쓰복만|유재석|유퀴즈|유퀴즈온더블럭|조세호","1420095","23465","343","3135","https://i.ytimg.com/vi/-FAYOasPjFQ/default.jpg","False","False","#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.98#유퀴즈온더블럭 EP.98매주 수요일 저녁 8시 40분 tvN#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #끝까지간다 #브레이브걸스 #성우김보민"
"PC2UEz2t08Q","Brave Girls, Rollin’(브레이브걸스, 롤린) [THE SHOW 210316]","2021-03-16T10:49:09Z","UCoRXPcv8XK5fAplLbk9PTww","The K-POP","10","21.19.03","K-pop|Kpop|SBS|Korea|sbsmedianet|210316|THE SHOW|더쇼|더쇼라이브|Brave Girls|Rollin’|브레이브걸스|롤린","1961450","50953","679","4714","https://i.ytimg.com/vi/PC2UEz2t08Q/default.jpg","False","False","#브레이브걸스, 롤린#Brave_Girls #Rollin’채널에 가입하여 혜택을 누려보세요.https://www.youtube.com/channel/UCoRXPcv8XK5fAplLbk9PTww/joinThe K-POP 

All about K-POP in Korea!
Official  K-POP YouTube channel of SBS Medianet.
Please don’t forget to click Subscribe.
Enjoy your YouTube life with THE K-POP."
"9Oe4tC86Yro","'아 이건 좀...' 슈퍼주니어의 커리어를 리뷰하는 아이들 | ODG","2021-03-17T11:00:14Z","UCpjm6R2yqu1GZjYtsIiXR5w","odg","24","21.19.03","[none]","1703947","123973","561","12553","https://i.ytimg.com/vi/9Oe4tC86Yro/default.jpg","False","False","You were a kid once.ODG STUDIO슈퍼주니어 멤버들의 ODG 착장은 www.odg.kr에서 만나보실 수 있습니다."
"CjYEyorgU5A","슈퍼맨이 돌아왔다 374회 티저 - 도플갱어네 [슈퍼맨이 돌아왔다/The Return of Superman] | KBS 방송","2021-03-18T08:15:50Z","UCK1sVuXaDvJeNwl9noN5nOA","KBS Entertain","24","21.19.03","슈퍼맨이 돌아왔다|슈돌|슈퍼맨|아빠|육아도전|육아|리얼리티|관찰예능|공동육아|육아대디|육아24시|육아꿀팁|장윤정|도경완|도연우|도하영","473453","5128","175","377","https://i.ytimg.com/vi/CjYEyorgU5A/default.jpg","False","False","슈퍼맨이 돌아왔다 374회 티저 - 도플갱어네"
"TTfzRbSFtLY","히밥님...재료가 다 떨어졌어요...","2021-03-17T11:15:16Z","UCgsffS7MfKL6YU3r_U3E-aA","승우아빠","24","21.19.03","승우아빠|히밥|같이한끼|승우아빠 같이한끼|히밥 같이한끼|히밥 승우아빠|승우아빠 히밥|푸드파이터|먹는자|만드는자|만드는자 먹는자 히밥","1554209","23357","535","2964","https://i.ytimg.com/vi/TTfzRbSFtLY/default.jpg","False","False","히밥님이 이 날 먹은것 (장바구니 리스트 아님)등갈비 14kg돼지 앞다리살 3kg주먹밥 2kg파스타 10인분후식 볶음밥 한 접시칵테일 두잔 원샷오렌지쥬스 1.5L콜라 1L엑설런트 4개집에 가는길에 슈바인학센 800g　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　#승우아빠 #히밥 #같이한끼만드는자 승우아빠 VS 먹는자 히밥오늘은 먹방BJ의 대단함을 느끼는 하루였습니다오기가 생겨서 다음엔 더 잘먹는 분을 모실까 합니다했는데 더 잘먹는 사람은 없을지도..? ✔️ 트위치 https://www.twitch.tv/swab85​​✔️ 공식카페 https://cafe.naver.com/swab​​📪 문의 seungwoodaddy@sandboxnetwork.net🎁  택배수령주소 : 서울시 용산구 서빙고로 17 센트럴파크타워, 30층 샌드박스 승우아빠냉장 보관이 불가능하기 때문에 식품류는 수령이 불가능합니다"
"3uMlZU8xQ5E","[선공개] 브레이브걸스 - 운전만해 (We Ride) [유희열 없는 스케치북] [유희열의 스케치북/You Heeyeol’s Sketchbook] | KBS 방송","2021-03-17T11:59:58Z","UCeLPm9yH_a_QH8n6445G-Ow","KBS Kpop","10","21.19.03","유희열의스케치북|직캠|유희열없는스케치북|유스케|유없스 브레이브걸스|운전만해","638901","22464","125","3586","https://i.ytimg.com/vi/3uMlZU8xQ5E/default.jpg","False","False","[선공개] 브레이브걸스 - 운전만해 (We Ride) [유희열 없는 스케치북]"
