,keyword,count
0,영상,460
1,브레이브걸스,383
2,롤린,296
3,구독,211
4,보기,176
5,미나리,156
6,이나래,154
7,펜트하우스,148
8,요리,145
9,스튜디오,138
10,송중기,128
11,채널,124
12,유튜브,122
13,먹방,121
14,문의,116
15,예능,115
16,아빠,112
17,오늘,110
18,사랑,109
19,레전드,109
20,이유,106
21,몰카,104
22,추천,103
23,퀴즈,102
25,수비드,100
24,한국,100
26,방송,98
27,박나래,97
28,역주행,96
29,다이어트,96
30,뉴스,94
31,만들기,92
32,와플,91
33,사용,91
34,운동,90
35,인스타,90
36,인스타그램,89
39,드라마,88
37,시즌,88
38,홍진경,88
40,브금,86
41,병맛,84
42,시카고,84
43,아이돌,83
44,라이브,81
45,공개,81
46,지금,79
47,다시,77
48,슈퍼주니어,76
49,이야기,74
