,word,freq
0,실종,301
1,대통령,295
2,경제,285
3,한강,245
4,마피아,217
5,경찰,202
6,대학생,198
7,세계,177
8,포함,161
9,발견,148
10,프로,137
11,윤여정,135
12,수비드,132
13,스페셜,128
14,러시아,128
15,코로나,122
16,출장,120
17,십오야,120
18,부대,120
19,월세,119
20,공원,117
21,관련,115
22,하와,112
23,댄스,112
24,명수,112
25,라이브,105
26,바이러스,102
28,보고,101
27,오후,101
29,꼬리,100
30,강연,100
31,스푸트니크,99
32,베를린,99
33,모습,98
34,유료,97
35,홈페이지,94
37,가족,92
38,확인,92
36,기자,92
39,단백질,90
40,직접,87
41,금요일,87
42,캠핑,84
43,서울,84
44,미국,83
45,주식,81
46,결과,79
47,백신,77
48,그날,76
49,저녁,76
