,keyword,count
0,브레이브걸스,1071
1,롤린,871
2,이유,494
3,수비드,453
4,대통령,405
5,퀴즈,390
6,병맛,388
7,스튜디오,362
8,아빠,350
9,바람,346
10,펜트하우스,340
11,음식,330
12,슈퍼주니어,320
14,시청,289
13,경기,289
15,뉴스,283
16,아이유,281
17,블럭,273
18,더빙,269
19,진짜,264
20,이제,264
21,시작,264
22,친구,259
23,다이어트,259
24,때문,254
26,뿌리,246
25,선물,246
27,해당,242
28,보고,240
29,최초,239
30,댄스,239
31,조개,238
32,배달,237
33,정도,237
34,저작권,237
35,앵콜,236
36,재료,234
37,설정,233
38,어스,230
39,직접,228
40,제보,225
41,치킨,222
42,남자,218
43,진행,214
44,쓰레기,213
45,아이돌,212
46,도움,211
47,목적,209
48,운동,207
49,오븐,206
