,keyword,count
0,영상,1433
1,구독,871
2,브레이브걸스,805
3,롤린,636
4,보기,500
5,문의,481
6,채널,455
7,오늘,445
8,요리,392
9,방송,384
10,수비드,357
11,인스타그램,353
12,브금,338
13,이유,333
14,사용,314
15,유튜브,313
16,몰카,305
17,한국,304
18,인스타,299
19,지금,292
20,촬영,278
21,사랑,276
22,이야기,266
23,시즌,241
25,공개,238
24,우리,238
26,앵콜,234
27,사람,233
28,대통령,228
29,공식,226
30,댓글,219
31,스튜디오,216
32,업로드,215
33,퀴즈,212
34,펜트하우스,209
35,생각,209
36,시청,208
37,만들기,207
38,슈퍼주니어,206
39,음식,204
40,정보,200
41,모든,199
42,여러분,199
43,시간,196
44,선물,196
45,오븐,192
46,먹방,190
47,광고,188
48,병맛,187
49,이번,184
