,keyword,count
0,브레이브걸스,805
1,롤린,633
2,수비드,357
3,대통령,228
4,퀴즈,212
5,펜트하우스,209
6,슈퍼주니어,206
7,선물,196
8,오븐,192
9,병맛,187
10,치킨,182
11,아빠,180
12,인기가요,161
13,고기,157
14,블럭,156
15,저희,153
16,운동,152
17,시작,151
18,출연,148
19,배달,148
20,더빙,146
21,친구,144
22,보고,142
23,확인,142
26,서울,141
25,다이어트,141
24,아이돌,141
28,강아지,139
27,역주행,139
29,하나,138
30,투자,135
31,질문,133
32,쁘걸,132
33,준비,132
36,김밥,128
37,아이즈,128
38,윤여정,128
35,소금,128
34,직접,128
39,모습,127
40,진행,127
41,조개,126
42,자주,126
43,택배,125
44,보관,125
45,진짜,124
46,뿌리,124
47,인생,122
48,감사,122
49,해당,122
