,keyword,count
0,박수홍,1065
1,아이유,700
2,친형,515
3,부대,451
4,다홍,426
5,롤린,385
6,가족,375
7,브레이브걸스,372
8,출산,369
9,라일락,330
10,상황,319
11,대통령,316
12,연합,315
13,경제,301
14,주가,300
15,횡령,296
16,뿌리,287
17,남자,281
18,기자,279
19,친구,274
20,강철,274
21,비밀,269
22,영어,260
23,보고,255
24,대해,255
27,스푼,254
25,원더,254
26,케이,254
28,브이,252
29,아이야,252
30,올리버,252
31,라면,251
32,경기,250
33,퀴즈,249
34,소속사,244
35,시작,240
36,로그,238
37,출연료,238
38,치킨,236
39,사실,232
40,김연경,231
41,직접,231
42,요청,229
43,오후,227
44,병맛,226
45,흥국생명,224
46,세계,218
47,해병대,217
48,대결,212
49,제보,209
