rank,word,freq
0,한강,2659
1,실종,2447
2,친구,2415
3,경찰,2202
4,대학생,1808
5,대통령,1548
6,공원,1344
7,기자,1332
8,손정민,1264
9,라디오,1248
10,신발,1187
11,발견,1144
12,서울,1141
13,부대,1135
14,확인,1129
15,아버지,1109
16,포함,1089
17,십오야,1023
18,아들,976
19,제보,953
20,하이라이트,947
21,홈페이지,926
22,세계,899
23,내용,879
24,경제,875
25,수비드,855
26,마피아,848
27,인터뷰,848
28,출장,847
29,관련,834
30,사고,832
31,프로,831
32,보고,802
33,라이브,774
34,정민,763
35,유료,755
36,강철,716
37,코로나,710
38,라이선스,707
39,당시,699
40,사망,674
41,상황,665
42,가족,656
43,스페셜,653
44,오후,647
45,진행,646
46,연합,634
47,직접,633
48,브레이브걸스,602
49,시작,600
