video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"v7bnOxV4jAc","[MV] IU(아이유)_LILAC(라일락)","2021-03-25T09:00:31Z","UCweOkPb1wVVH0Q0Tlj4a5Pw","1theK (원더케이)","24","21.28.03","K-POP|Kpop|1theK|원더케이|Original|1theK Original|TOP100|idol|아이돌|라이브|LIVE|멜론|원더케이 오리지널|음악|IU|아이유|라일락|LILAC","11648347","935438","11590","52117","https://i.ytimg.com/vi/v7bnOxV4jAc/default.jpg","False","False","[MV] IU(아이유)_LILAC(라일락)K-POP Wonderland, 1theKK-POP의 모든 즐거움을 1theK(원더케이)에서 만나보세요! :)Welcome to the official YouTube channel of K-POP Wonderland, 1theK1theK Originals Subscribe 👉 https://www.youtube.com/1theKOriginals[Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.[공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.#NEWRELEASE#MV#1theK#원더케이▶1theK YT : https://www.youtube.com/1theK▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc▶1theK TikTok : https://vt.tiktok.com/2mSMBS"
"86BST8NIpNM","[MV] IU(아이유)_Coin","2021-03-26T09:00:01Z","UCweOkPb1wVVH0Q0Tlj4a5Pw","1theK (원더케이)","24","21.28.03","K-POP|Kpop|1theK|원더케이|Original|1theK Original|TOP100|idol|아이돌|라이브|LIVE|멜론|원더케이 오리지널|음악|아이유|IU|Coin|coin|코인","3925393","418222","3012","21541","https://i.ytimg.com/vi/86BST8NIpNM/default.jpg","False","False","[MV] IU(아이유)_CoinSampled intro sound, created by Niv Gold @Nivgo.comK-POP Wonderland, 1theKK-POP의 모든 즐거움을 1theK(원더케이)에서 만나보세요! :)Welcome to the official YouTube channel of K-POP Wonderland, 1theK1theK Originals Subscribe 👉 https://www.youtube.com/1theKOriginals[Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.[공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.#NEWRELEASE#MV#1theK#원더케이▶1theK YT : https://www.youtube.com/1theK▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc▶1theK TikTok : https://vt.tiktok.com/2mSMBS"
"aUhFSgaPzaw","웅이가 얼마나 먹을지 몰라서 일단 라면 60봉 준비했습니다 | [미선이네👩‍🍳]","2021-03-26T09:00:00Z","UCJmcPVY4dC0e3L5_eemKtlg","미선임파서블 MISUN:IMPOSSIBLE","24","21.28.03","박미선|미선임파서블|박미선유튜브|내가 할게 누가 할래|누가할래|누가 할래|순풍산부인과|미달이엄마|박미선이경실|박미선이봉원|박미선김택용|박미선tv|박미선 인연|박미선 인생술집|박미선 개그|코미디언|예능인|꿀잼|예능|나는박미선|미션임파서블|히밥|먹방|MUKBANG|히밥 먹방|김밥|라면|라면 먹방|히밥 라면|푸드파이터|도전 먹방|mukbang|김밥 재료|대결|웅이|웅이 먹방|진라면|짜파구리|오징어짬뽕|신라면|너구리|콜라|대식가|푸드파이트|푸파|분식|분식집|장사|할머니|손자|국민손자|할머니와 손자|대접|식사|한끼|우삼겹|스팸|1인분","700097","11238","276","596","https://i.ytimg.com/vi/aUhFSgaPzaw/default.jpg","False","False","요원들 ~ 요하🙋‍♀️오늘은 유튜브를 보면서 정말 나를 울고 웃게 했던웅이님을 초대했습니다 👏👏 웅이 너무 잘 먹드라 ㅎ우리 채널에 나와줘서 너무 고맙구 요즘은 콜라 적당히 마시는 것 같아서 좋드라 웅아 ~☺️다음에 또 나와줘 😍우리 요원들도 영상 끝까지 봐주고 구독도 심심하면 눌러줘 😎미선에게 불가능이란 없다 [미선임파서블][웅이woongei] https://bit.ly/3rp1FzY[미선임파서블 구독] https://bit.ly/34ZhsNX#박미선 #미선임파서블 #웅이 #미선이네 #박미선유튜브 #요즘것들STAFF촬영: 그림형제음향: 빅스톤스튜디오믹싱: 서지은편집: 조윤미"
"eZA6QNuLmKg","[K-Choreo 8K] 아이유 직캠 'LILAC(라일락)' (IU Fancam) l @MusicBank 210326","2021-03-26T11:22:06Z","UCeLPm9yH_a_QH8n6445G-Ow","KBS Kpop","10","21.28.03","KBS|KPOP|뮤직|KBSKPOP|K-POP|케이팝|kpop|KBSKpop|음악|studio k|크브스|뮤뱅 직캠|뮤뱅 풀캠|뮤직뱅크|kbs|kbs fancam|music bank|iu|아이유|이지금|아이유 풀캠|iu fullcam|iu fancam|아이유 직캠|아이유 라이브|뮤뱅 라이브|아이돌|아이유 뮤뱅|뮤직뱅크 아이유|에필로그|뮤뱅 에필로그|Epilogue|0326 뮤직뱅크|dkdldb|musicbank fancam|studio K fancam|라일락|아이유 컴백|LILAC|라일락 직캠|라일락 춤|라일락 뮤뱅","1412031","56243","625","2675","https://i.ytimg.com/vi/eZA6QNuLmKg/default.jpg","False","False","#IU #Choreography #8kMore from #KBSKPOPTwitter:       https://twitter.com/StudioK_twitInstagram: https://www.instagram.com/studiok__official/"
"6xz1bay-6dQ","[#하이라이트#]드디어 만남 성사! 진짜 BTS와 BTS 여고생의 만남! 살아계세요?#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.99","2021-03-24T14:14:47Z","UC920m3pMPH45qztdhppZhwA","유 퀴즈 온 더 튜브","24","21.28.03","BTS|RM|방탄소년단|뷔|슈가|유재석|유퀴즈|유퀴즈온더블럭|정국|제이홉|조세호|지민|진","8714845","504994","3410","23162","https://i.ytimg.com/vi/6xz1bay-6dQ/default.jpg","False","False","유 퀴즈 온 더 블럭매주 (수) 저녁 8시 40분 tvN#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #방탄소년단 #BTS #RM #진 #슈가 #제이홉 #지민 #뷔 #정국"
"cc__Fvyuu8g","[Simply K-Pop] Brave Girls (브레이브걸스) - Rollin' (롤린) _ Ep.460","2021-03-26T04:50:01Z","UC_6zPf4uuteHFFctnQtEaXQ","ARIRANG K-POP","24","21.28.03","arirang|arirangtv|Korea|korean|kpop|K-Pop|ASC|Pops in Seoul|Simply K-Pop|After School Club|브레이브걸스|롤린|BraveGirls|Rollin|뮤직|댄스|걸그룹|음악방송|K팝|아이돌|MUSIC|Kpop|girlgroup|dance|idol","917492","28927","343","2433","https://i.ytimg.com/vi/cc__Fvyuu8g/default.jpg","False","False","Brave Girls 'Rollin''With “Rollin’” released in 2017, Brave Girls is writing new history, climbing up and capturing the highest spot on the music charts. Unforgettable upon listening to it, “Rollin’” is a refreshing uptempo EDM song of the tropical house genre with an addictive chorus.브레이브걸스 '롤린'4년 전 발매된 브레이브걸스의 '롤린 (Rollin')'이 각종 음원 사이트에서 1위를 차지하며 역주행 신화를 새롭게 쓰고 있다. ‘롤린 (Rollin')' 은 경쾌한 업템포의 EDM 곡으로, 한번 들으면 쉽게 잊혀지지 않는 Rollin' - Rollin' - Rollin' 이라는 중독성 있는 후렴과 트로피컬 장르 특유의 재미있는 사운드가 인상적이다.#BraveGirls #Rollin #브레이브걸스 #롤린"
"BOUolhHEkH8","[전지적 참견 시점 선공개] 먹벤져스의 등장?! 홍현희 X 천뚱 X 유민상의 삼겹살 먹방♨, MBC 210327 방송","2021-03-27T01:00:01Z","UCiBr0bK06imaMbLc8sAEz0A","MBCentertainment","24","21.28.03","MBC|예능|토요예능|전지적참견시점|전지적|참견시점|전참시|관찰예능|먹방|눕방|맛집|여행|매니저|제보|리얼|예고|Preview|이영자|전현무|송은이|양세형|유병재|LeeYoungja|JunHyunmoo|SongEun-i|YangSehyung|YuByeongjae","691379","3465","162","399","https://i.ytimg.com/vi/BOUolhHEkH8/default.jpg","False","False","★★★More clips are available★★★iMBChttp://www.imbc.com/broad/tv/ent/omniscient/vod/index.htmlWAVVEhttps://www.wavve.com/player/vod?programid=M_1003594100000100000&page=1"
"J_sPEzOsixE","(ENG) 나 엑소 좋아했네? 솔직히 여기 나온 노래 모르는 사람 대한민국 국민 아님(그만큼 명곡이 많다는 뜻) / [문명특급 EP.177]","2021-03-25T08:02:09Z","UCUyfkq9e9ZfPzxOW5WQ9rzQ","문명특급 - MMTG","24","21.28.03","문명특급|스브스뉴스|재재|SBS|문특|mmtg|엑소|exo|백현|baekhyun|으르렁|늑대와미녀|수호|찬열|카이|디오|세훈|시우민|첸|레이|첸백시|suho|chanyeol|kai|d.o.|sehun|xiumin|chen|lay|exo-k|exo-l|exo-m|밤비|bambi|mama|마마|sm|에스엠|이수만|변백현|백현이씨|천재아이돌|스포장인|김준면|김민석|도경수|김종인|오세훈|카스썰|중독|overdose|love me right|재컴백|call me baby|love shot|럽미라잇|러브샷|코코밥|몬스터|exo-cbx|엑소 콘서트|밀리언셀러|candy|유엔빌리지|un village|큥튜브|큥이|앙글","1377752","75500","715","7466","https://i.ytimg.com/vi/J_sPEzOsixE/default.jpg","False","False","2030의 나훈아 엑소 백현이 왔읍니다👏👏👏큥이 언제 서른 살 됐어ㅠ 나만 늙었어 나만ㅠSM 전직원의 투표를 뒤로 하고 이수만 쌤이 혼자 골랐다는엑소의 명곡은 과연 어떤 노래였을까요?#백현 #밤비 #엑소 #EXO #BAEKHYUN #Bambi기획/하현종  프로듀서/이아리따  진행/이은재  구성/이은재 이규희 이세정  촬영/오채영 최송인  디자인·CG/김하경 김한솔  담당인턴/김은비 이수현  마케팅/남승훈 김유진 정아름  조연출·편집/오한주  연출/홍민지  제작/SBS디지털뉴스랩 크리에이티브 사업부문"
"__0c4RcMk1o","[머니올라 182화/염블리의 비밀노트] 쉬어가는 기간조정...‘외국인 매수’ 살피면 오를 종목 보인다(염승환 부장)","2021-03-27T03:04:55Z","UCAySceX4rbSr408F1dUpuUw","머니올라","25","21.28.03","KBS|뉴스|경제|머니올라|금융|주가|주식|ETF|머니|개미|투자|증권|삼프로|국민연금|종부세|부동산|코스닥|코스피|개인|투자자|기업|외국인|문재인|바이든|존리|주식개미|주식폭락|가계대출|폭락장|주식붕괴|예수금|FDA|코로나19|SK하이닉스|삼성전자|코로나|ESG|KBS경제","213574","6232","167","187","https://i.ytimg.com/vi/__0c4RcMk1o/default.jpg","False","False","[영상 촬영 날짜: 3월 26일]00:34 Q. 증시 분위기 나쁘지 않은데도 상승세 약화된 이유는?03:00 Q. 미중갈등 이어 유럽, 중국 제재... 中 증시 약화, 국내증시 영향은?06:40 Q. 美 10년물 금리 1.6%대⋅환율 안정세... 증시 적응하지 않을까?09:32 Q. 외국인 매도세 다소 완화... 현재 많이 사는 종목은?11:58 Q. 외국인 매수종목들 주가 상승하나?12:20 Q. 이번 주에 많이 오른 섹터는?14:26 Q. 그룹 지주회사⋅중심회사 주가가 최근 조정받은 이유는?17:00 Q. 배터리 주가 큰 폭 조정... 회복 조짐 보이나?20:20 Q. 최근 자동차 주가 약세... ‘車 반도체 부족’ 얼마나 심각한가?22:31 Q. 반도체 강국인데 ‘자동차 반도체’ 잘 만들지 못하나?머니올라는 다양하고 흥미있는 경제 이슈로 여러분들을 찾아뵙고 있습니다.출연을 원하는 전문가가 있으면 댓글로 남겨주시길 바랍니다. 구독과 좋아요 부탁드립니다~:-)#머니올라 #KBS #MONEY #경제 #금융 #부동산 #돈 #주식 #주가 #펀드#국제 #해외 #국내 #중국 #미국 #무역"
"9yneHTModes","[찜꽁습꽁] 상위 0.1% 천재 고양이 💖다홍이💖 모음! 세상에 다홍이 하버드 가야 할 것 같아요. (진심)ㅣSBS ENTER.","2021-03-25T02:00:00Z","UCmjNKt6kITwaZTqvWuaSPLg","SBS Entertainment","24","21.28.03","다홍이|다홍|박수홍|뷰티앤더비스트|찜꽁습꽁|고양이|SBS|천재고양이","1240611","19324","433","1523","https://i.ytimg.com/vi/9yneHTModes/default.jpg","False","False","이번엔 사심 200% 넣었습니다.편집자가 찜꽁한 천재 고양이 다홍이 모음💖#다홍이​ #박수홍​ #뷰티앤더비스트▶ Hompage : https://www.sbs.co.kr/tv/enter​▶ Subscribe SBS Entertainment : https://bit.ly/2SpOhMC"
